,text
0,"['KennyDegu', 'little', 'volume', '10T', 'youd', 'think', 'could', 'SPX', 'trading', '10000']"
1,"['ESF', 'achieved', 'Target', '2780', 'closing', '50', 'Fibonacci', 'level', 'momentum', 'still', 'possible', 'push', 'towards', '28422886', 'next', 'week', 'SPX', 'SPY', 'tradign', 'futures', 'httpstcowD2A0102nC']"
2,"['RT', 'KimbleCharting', 'SilverGold', 'indicator', 'creates', 'one', 'largest', 'bullish', 'reversal', 'patterns', 'decades', 'testing', 'multidecade', 'suppor…']"
3,"['Issaquahfunds', 'Hedged', 'MSFT', 'position', 'close', 'Seemed', 'getting', 'lazy', 'past', 'week']"
4,"['RT', 'zipillinois', '3', 'Surprisingly', 'Controversial', 'Stocks', 'Donald', 'Trumps', 'Portfolio', 'themotleyfool', 'stocks', 'GILD', 'MO', 'httpstcod9hlJnSRN3']"
5,"['RT', 'CryptoWorld', '🇿🇼ZIMBABWE🇿🇼', 'CRYPTO', 'NEWS🌍', 'Government', 'teams', 'Apollo', 'launch', 'national', 'cryptocurrency🌍', 'apollocurrency', 'crypt…']"
6,"['Pfizer', 'Shares', 'Acquired', 'Ipswich', 'Investment', 'Management', 'PFE', 'httpstcogqXxIbbxIS']"
7,"['RT', 'NorthmanTrader', 'repeat', 'Fed', 'recklessly', 'distorting', 'everything', 'JNK', 'SPX', 'httpstcofDHaY5MKUW']"
8,"['SampP', '500', 'SPX', 'SPX500', 'USD', 'long', 'term', '1940', 'Long', 'short', 'BTC', 'Trade8', 'httpstcoYn1Wyxwotl', 'httpstcoTU21nc1eA5']"
9,"['RT', 'TDANetwork', '📽️', 'TheWatchList', 'panel', 'assesses', 'big', 'questions', 'AAPL', 'face', 'next', '6', 'months', '🍎📱', 'LanceUlanoff', 'mattswider…']"
10,"['UMRX', 'bouncing', 'EXTREMELY', 'OVERSOLD', 'Coronavirus💸', 'DECN', 'OPGN', 'CODX', 'HTBX', 'TNXP', 'BA', 'APRN', 'JNUG', 'PCTL', 'BIEI', 'AAPL', 'NBY', 'UBER', 'WTRH', 'NOVN', 'TSLA', 'XSPA', 'INO', 'ASTC', 'MRNA', 'GPMT', 'SPXS', 'SPY', 'QQQ', 'NUGT', 'BURG', 'VXRT', 'TVIX', 'IBIO', 'ACB', 'TLRY', 'CLIR', 'BKYI', 'TOPS', 'NVAX', 'GME', 'TTOO', 'AYTU', 'TNXP💸📈', 'httpstco1R1e8PlfMw']"
11,"['RT', 'cloudymeadows', 'Somebody', 'needs', 'adult', 'conversation', 'SenKevin', 'Cramer', 'RND', 'amp', 'tell', 'asshole', 'face', 'it’s', 'not…']"
12,"['Editors', 'Choice', 'Three', 'Deals', 'Needed', 'ahead', 'Holiday', 'Weekend', 'marcmakingsense', 'FXY', 'FXA', 'SPX', 'OIL', 'FXB', 'ACWI', 'FXE', 'httpstcoozXzTbD8dM']"
13,"['cant', 'stand', 'Facebook', 'commercial', 'keeps', 'replaying', 'CNBC', 'app', 'phony', 'company', 'FB']"
14,"['‘em', 'Stocks', 'warrenbuffet', 'billgates', 'kevinoleary', 'mrwonderful', 'stocks', 'stockmarket', 'investing', 'httpstcovIEzRQPx5c']"
15,"['Treasury', 'Secretary', 'Mnuchin', 'says', 'US', 'could', 'open', 'business', 'May', 'CNBC', 'spx', 'ndx', 'biib', 'mrna', 'bntx', 'amzn', 'cost', 'wmt', 'gild', 'httpstcoeup9IRFyVZ']"
16,"['Analysts', 'Anticipate', 'Progressive', 'Corp', 'PGR', 'Announce', '146', 'Earnings', 'Per', 'Share', 'httpstcorOgsbz1Ra1', 'stocks']"
17,"['059', 'EPS', 'Expected', 'NRG', 'Energy', 'Inc', 'NRG', 'Quarter', 'httpstcoIKsTtscLrU', 'stocks']"
18,"['Brokerages', 'Expect', 'Drive', 'Shack', 'Inc', 'DS', 'Announce', 'Earnings', '006', 'Per', 'Share', 'httpstcoVPXpnacdqe', 'stocks']"
19,"['Analysts', 'Anticipate', 'Boston', 'Private', 'Financial', 'Hldg', 'Inc', 'BPFH', 'Post', '016', 'Earnings', 'Per', 'Share', 'httpstcojMcGVT0Hfn', 'stocks']"
20,"['Zacks', 'Brokerages', 'Anticipate', 'Fastenal', 'FAST', 'Post', 'Earnings', '034', 'Per', 'Share', 'httpstcomloI4GRLE7', 'stocks']"
21,"['Brokerages', 'Expect', 'Agilent', 'Technologies', 'Inc', 'Announce', '060', 'Earnings', 'Per', 'Share', 'httpstcopvqnqfKufn', 'stocks']"
22,"['Centurylink', 'Inc', 'CTL', 'Expected', 'Announce', 'Earnings', '036', 'Per', 'Share', 'httpstcoJpt9cKDxDY', 'stocks']"
23,"['Zacks', 'Brokerages', 'Anticipate', 'CVB', 'Financial', 'Corp', 'CVBF', 'Post', '032', 'Earnings', 'Per', 'Share', 'httpstcosVuLkKuUg6', 'stocks']"
24,"['httpstcoF3sTCv56Q2', 'Ltd', 'CYOU', 'Expected', 'Announce', 'Earnings', '071', 'Per', 'Share', 'httpstcoB6ialx9ncm', 'stocks']"
25,"['Guess', 'Inc', 'GES', 'Expected', 'Post', 'Earnings', '083', 'Per', 'Share', 'httpstcoVm3heWjwud', 'stocks']"
26,"['006', 'EPS', 'Expected', 'TETRA', 'Technologies', 'Inc', 'TTI', 'Quarter', 'httpstco6M7JZ3e3CX', 'stocks']"
27,"['FSD', 'Pharma', 'begins', 'Clinical', 'Trials', 'Phase', '1', 'Australia', 'httpstco9NBZl4cjk3', 'Pharma', 'Biotech', 'Nyse', 'Nasdaq', 'PFE', 'GILD', 'JNJ', 'RO']"
28,"['AAPL', '4h1h', 'Sometimes', 'wedges', 'break', 'higher', 'rarely', 'bear', 'market', 'fact', 'still', 'one', 'last', 'high', 'today', 'divergent', 'httpstcoWkYZiryzS9']"
29,"['weeks', 'Expired', 'Signals', 'published', 'early', '🧠', 'httpstcoiPwC1npzlP', 'APR20', 'WK2', 'Stocks', 'TGT', 'DG', 'MCD', 'EMB', 'CMCSA', 'AMZN', 'AAPL', 'SPY', 'APR20', 'WK2', 'Forex', 'EURAUD', 'CHFJPY', 'EURUSD', 'EURGBP', 'AUDJPY', 'XAUUSD', 'EURCHF']"
30,"['SPY', 'QQQ', 'VXX', 'AAPL', 'BA', 'MSFT', 'Guys', 'figured', 'whats', 'gonna', 'happen', 'market', 'next', 'couple', 'weeks', 'httpstco1s1KJI23Bm']"
31,"['tradeitforward', 'MTIs', 'Ask', 'Analyst', 'Chris', 'Pulver', 'Gary', 'Fichardt', 'Tyson', 'Clayton', 'httpstco7SqFOkH15J', '100', 'FREE', 'FUN', 'great', 'content', 'traders', 'MTI', 'markettraders', 'stocks', 'forex', 'trading', 'tradingstrategy', 'WallStreet', 'CoronavirusOutbreak', 'SocialDistancing', 'httpstcoBA4HZIX0zP']"
32,"['RT', 'exis10tial', 'China’s', '“second', 'wave”', 'COVID19', 'appears', 'benign', 'extent', 'data', 'validated', 'SPX', 'httpstcoHtowen4cYj']"
33,"['SPX', 'chart', 'notes', 'httpstcoKq3uissfzq']"
34,"['20200408', 'Short', 'sale', 'volume', 'short', 'interest', 'ABT', '56', 'httpstcolpCa2LbGwi', 'JNJ', '48', 'TMO', '49', 'MDT', '43', 'PFE', '34']"
35,"['AAPL', 'SPY', 'retest', 'highs', 'retesting', 'lows', 'Low', 'retest', 'briefly', 'break', 'soar', 'new', 'ATH', 'dollar', 'crumbles', 'Fupped', 'truth']"
36,"['virus', 'aftermath', 'illusion', 'finality', 'despite', 'cyclicality', 'nearly', 'viruses', 'predicts', 'second', 'possibly', 'deadly', 'outbreak', 'fall', 'Matrix', 'Updated', 'Stocks', 'Bonds', 'Commodities', 'Bitcoin', 'httpstco0LMEopLdbC', 'httpstcoEohy7rFYrF']"
37,"['RT', 'dynamicvol', 'SPX', 'caught', 'middle', 'ultimate', 'gladiator', 'match', 'liquidity', 'Fed', 'solvency', 'economy']"
38,"['RT', 'CryptoWorld', '🇿🇼ZIMBABWE🇿🇼', 'CRYPTO', 'NEWS🌍', 'Government', 'teams', 'Apollo', 'launch', 'national', 'cryptocurrency🌍', 'apollocurrency', 'crypt…']"
39,"['RT', 'CryptoWorld', '🇿🇼ZIMBABWE🇿🇼', 'CRYPTO', 'NEWS🌍', 'Government', 'teams', 'Apollo', 'launch', 'national', 'cryptocurrency🌍', 'apollocurrency', 'crypt…']"
40,"['httpstco9VjKMnpm7n', 'Cheniere', 'Energy', '57', '5288', 'million', 'gain', 'LNG', 'made', 'notable', 'gains', '9', 'last', '30', 'trading', 'sessions', 'stockMarket', 'stocks', 'trading', 'market', 'investing', 'NASDAQ', 'NYSE', 'publicUtilities', 'oil', 'gas', 'httpstco0NgSarOtlc']"
41,"['SPX', 'thus', 'far', 'monthly', 'ichimoku', 'cloud', 'acted', 'support', 'httpstcoTXYCsiUAuc']"
42,"['Peak', 'profit', 'last', '6', 'expired', 'option', 'alerts', 'V', '415', '8750', '20475', '7750', '046', '3510', 'httpstcoMilpmYSlAQ', 'httpstcoDHmy4i38XN']"
43,"['ZM', 'Poor', 'execution', 'trade', 'good', 'profits', 'Watch', 'episode', '48', 'Live', 'Day', 'trading', 'Show', 'httpstco3ejGzfwp9a', 'stocks', 'StockMarket', 'StocksToTrade', 'Daytrader']"
44,"['RT', 'TommyThornton', 'Added', 'back', '5', 'ETF', 'shorts', 'late', 'day', 'Ill', 'fight', 'Fed', 'SPX', '2800', 'likely', '20', 'unemployment']"
45,"['RT', 'HedgeyeComm', 'get', 'FB', 'GOOGL', 'great', 'companies', '90', 'revenues', 'another', 'companys', 'variable', 'cost', 'a…']"
46,"['QE', 'fever', 'seems', 'beating', 'coronavirus', 'fever', 'SPX']"
47,"['RT', 'JdMullins2', 'WrittenCuriosi1', 'Yes', 'saw', 'AAPL', 'revised', '2020', 'Q2', 'guidance…', 'people', 'aren’t', 'going', 'buying', 'phones', 'they…']"
48,"['RT', 'Northst18363337', 'Gold', 'miners', 'flying', 'today', 'Long', 'term', 'bull', 'market', 'early', 'stages', 'gold', 'silver', 'preciousmetals', 'GDX', 'GDXJ', 'HUI…']"
49,"['RT', 'CheddarFlow', 'highly', 'unusual', 'orders', 'caught', 'today', 'SPY', 'SLV', 'stocks', 'options', 'optionsflow', 'httpstcoHeWoYWtq9k']"
50,"['RT', 'CheddarFlow', 'highly', 'unusual', 'orders', 'caught', 'today', 'SPY', 'SLV', 'stocks', 'options', 'optionsflow', 'httpstcoHeWoYWtq9k']"
51,"['RT', 'LanceRoberts', 'JPM', 'stopped', 'making', 'Small', 'Business', 'Loans', 'outside', 'guaranteed', 'Government', 'FUCK', 'baile…']"
52,"['RT', 'KobeissiLetter', 'SampP', '500', 'SPX', '2008', 'VS', '2020', 'COMPARISON', 'see', 'near', 'identical', 'setup', 'three', 'wave', 'bear', 'market', '2008', 'Bega…']"
53,"['Buy', 'SPX', 'httpstcoBokMt4s8RS']"
54,"['httpstco9VjKMnpm7n', 'Gannett', '253', '246', 'million', 'gain', 'GCI', 'made', 'notable', 'gains', '11', 'last', '41', 'trading', 'sessions', 'stockMarket', 'stocks', 'trading', 'market', 'investing', 'NASDAQ', 'NYSE', 'basicIndustries', 'newspapers', 'httpstco1TJehlBwx2']"
55,"['Traders', 'secure', '💰', 'week', 'SPY', 'ASTC', 'ICD', 'CLMT', 'ACY', 'TLSA', 'NLS', 'TSLA', 'BABA', 'AAPL']"
56,"['Join', 'academy', 'like', 'members', 'Bali', 'visit', 'httpstcopXcDPCBbJL', 'email', 'richtvlivegmailcom', 'richtvlive', 'daytrade', 'money', 'investment', 'stocks', 'stockstotrade', 'stockstowatch', 'trading', 'academy', 'gold', 'coronavirus', 'etf…', 'httpstcow9G8DWaMJ2']"
57,"['RT', 'TJAnderson1', 'Russell2000', '45', 'today', 'wildly', 'outperforming', 'DJIA', 'SP500', 'one', 'financial', 'media', 'explain…']"
58,"['QuisitiveInvest', 'innerscorecard', 'incredible', 'resilient', 'quality', 'chance', 'buy', 'MSFT', 'cheap', 'never', 'came']"
59,"['RT', 'PeterLBrandt', 'SPX', 'Load', 'released', 'httpstco3X1fasBjBD']"
60,"['RT', 'syinvesting', 'COVID19', 'Good', 'NatRevDrugDisc', 'article', 'COVID19', 'vaccine', 'landscape', 'httpstcoz0cdGU4vQD', 'global', 'COVID19', 'vac…']"
61,"['RT', 'Northst18363337', 'Gold', 'miners', 'flying', 'today', 'Long', 'term', 'bull', 'market', 'early', 'stages', 'gold', 'silver', 'preciousmetals', 'GDX', 'GDXJ', 'HUI…']"
62,"['RT', '3vatronic', 'Todays', 'trade', '9th', 'April', '2020', 'JPM', 'Earnings', 'expecting', 'rip', 'like', 'earnings', 'move', 'looks', 'almost', 'priced', 'i…']"
63,"['Visa', 'launch', 'debit', 'card', 'offering', 'bitcoin', 'rewards', 'V', 'GBTC', 'httpstcoYJoYQfDRvA']"
64,"['RT', 'CNBCnow', 'BREAKING', 'Disney', 'surpasses', '50M', 'subscribers', 'globally', 'DIS', 'shares', 'pop', '4', 'hours', 'httpstcoSLfhgCMvbd', 'https…']"
65,"['TheRealBudBundy', 'YEP', 'lol', 'Todays', 'end', 'day', 'stock', 'market', 'summary', 'SPX', 'httpstco4VapIzvFtp', 'spx', 'spy', 'sso', 'upro', 'ptlc', 'ndx', 'qld', 'dow', 'ddm', 'vix', 'dax', 'cac', 'ftse', 'httpstcoLWFeDmLFIO']"
66,"['onIinesanjaya', 'Nahhhh', 'found', 'nas100', 'pay', 'like', 'us30', 'buy', 'go', 'negative', 'like', 'Spx500', 'spreads', 'lower', 'lmao', 'that’s', 'baby']"
67,"['RT', 'LanceRoberts', 'JPM', 'stopped', 'making', 'Small', 'Business', 'Loans', 'outside', 'guaranteed', 'Government', 'FUCK', 'baile…']"
68,"['RT', 'leadlagreport', 'Greatest', 'Disconnect', 'Stocks', 'Economy', 'History', 'NEW', 'POST', 'Lets', 'state', 'obvious', 'benefit…']"
69,"['🕷️The', 'SampP', '500', 'best', 'week', 'since', '1974', 'signs', 'plateau', 'new', 'COVID19', 'cases', 'restore', 'investor', 'confidence', 'bumped', 'index', '12', 'Greed', 'overtakes', 'fear', 'stock', 'market', 'don’t', 'lured', 'shortlived', 'rally', 'SPY', 'SPX', 'httpstcotBds4FKAWS']"
70,"['RT', 'AdamMancini4', 'Critical', 'hours', 'coming', 'SPX', 'made', '2780', 'zone', 'ive', 'called', 'week', 'overshot', 'this…']"
71,"['andrewrsorkin', 'opinionjoe', 'TARP', 'made', 'money', 'assets', 'bought', 'cheapmid', 'teens', 'loss', 'adjusted', 'yields', 'bonds', 'equity', 'valuations', '1000', 'sp500', 'time', 'around', 'IG', '3', 'HY', '6pre', 'loss', 'adjusted', 'sp500', '2800', 'hope', 'Treasury', 'doesnt', 'losses', 'margin', 'thin']"
72,"['RT', 'R2112YYZ', 'Bill', 'Gates', 'says', 'US', 'government', 'cant', 'wave', 'wand', 'sudden', 'economy', 'anything', 'like', 'coronavirus…']"
