,text,sentiment
0,"['RT', 'RobertBeadles', 'Yo💥', 'Enter', 'WIN', '1000', 'Monarch', 'Tokens✅', 'US', 'Stock', 'Market', 'Crashes', 'amp', 'LEARN', 'PT3', 'RETWEET', 'WATCH', 'video…']",positive
1,"['SriLanka', 'surcharge', 'fuel', 'removed', '⛽📉', 'surcharge', 'Rs26', 'imposed', 'diesel', 'petrol', 'revoked', 'effect', 'midnight', 'June', '23', 'says', 'Power', 'Energy', 'Transport', 'Minister', 'Mahinda', 'Amaraweera', 'Adaderana', 'lka', 'FuelPrices', 'taxes', 'economy', 'stocks', 'StockMarket']",negative
2,"['Net', 'issuance', 'increases', 'fund', 'fiscal', 'programs', 'gt', 'yields', 'spike', 'higher', 'gt', 'risk', 'stocks', 'EMFX', 'correct', 'lower', 'gt', 'Fed', 'comes', 'YCC', 'gt', 'stocks', 'new', 'time', 'highs', '20', 'unemployment', '25', 'GDP', 'Fin']",positive
3,"['RT', 'bentboolean', 'much', 'Amazons', 'traffic', 'served', 'Fastly', 'Help', 'us', 'find', 'running', 'tool', 'IP', 'address', 'httpstco…']",positive
4,"['AMD', 'Ryzen', '4000', 'desktop', 'CPUs', 'looking', '‘great’', 'track', 'launch', '2020', 'httpstcoy7yYvXOVYJ', 'madtweets', 'stocks', 'cnbc', 'AMD']",positive
5,"['RT', 'QuantTrend', 'Reduce', 'portfolio', 'RISK', 'GOLD', 'perfect', 'tail', 'HEDGE', 'Central', 'banks', 'balance', 'sheet', 'expansion', 'amp', 'large', 'fiscal', 'deficits', 'amp…']",positive
6,"['86369', 'Million', 'Sales', 'Expected', 'Spirit', 'AeroSystems', 'Holdings', 'Inc', 'SPR', 'Quarter', 'httpstcozoqBvspVSj', 'stocks']",positive
7,"['RT', 'ArjunKharpal', 'Apple', 'cut', 'prices', 'iPhone', '11', 'range', '1213', 'China', 'uncommon', 'move', 'discounts', 'n…']",negative
8,"['RT', 'SMAalpha', 'CDC', 'US', 'New', 'Case', 'data', '2', 'day', 'lag', 'saw', 'another', 'encouraging', 'decline', 'Global', 'New', 'Case', 'data', 'still', 'flat', 'the…']",negative
9,"['Look', 'Dependable', 'Dividends', 'Read', 'gt', 'httpstcoqKvNFF2ih5', 'etf', 'investing', 'stocks', 'business', 'news']",neutral
10,"['RT', 'PipsToDollars', 'Earnings', 'AMZN', 'TSLA', 'MSFT', 'AAPL', 'AMD', 'BA', 'FB', 'LUV', 'MMM', 'GE', 'AAL', 'UPS', 'TWTR', 'PFE', 'CBSH', 'PEP', 'GOOGL', 'GILD', 'SBUX', 'UAL…']",neutral
11,"['Guys', 'market', 'stays', '10000', 'till', '2', 'expect', 'major', 'major', 'crash', 'nifty', 'nifty', 'banknifty', 'stocks']",negative
12,"['future', 'fly', 'Spirit', 'Air', 'SAVE', 'Blog', 'StocksampSports', 'FB', '🤖', 'Bots', 'amp', 'AI', 'also', 'welcome', 'blog', 'salesforce', 'CRM', 'Tommycoulter4', 'httpstcoSBae6qvO6p']",neutral
13,"['Interesting', 'comparison', '200709', 'market', 'SPX', 'stocks', '200', 'day', 'Much', '2008', 'bear', 'market', '50', 'level', 'marked', 'red', 'line', 'got', '65', 'level', 'summer', '2009', 'smoke', 'cleared', 'weak', '2020', 'something', 'watch', 'httpstcoeWP915CcBj']",negative
14,"['CANBK', 'CANBK', '25Jun2020', '93', 'nifty', 'banknifty', 'equity', 'stocks', 'analysis', 'trading', 'sp', 'httpstcoOSGXfbjKqf']",neutral
15,"['4', 'Spot', 'premium', 'major', 'price', 'peaks', 'phase', 'distribution', 'funding', 'stays', 'largely', 'positive', 'amp', 'futures', 'trade', 'premium', 'constantly', 'constant', 'spot', 'premium', 'precursor', 'organic', 'demand', 'BTC', 'BTC', 'Bitcoin', 'TA', 'SP500']",positive
16,"['Chile', 'Road', 'Recovery', '2021', 'httpstcoxp152EE1hm', 'AAPL', 'TSLA', 'FB', 'httpstcocHvzQi7Fv3']",neutral
17,"['RT', 'ForecastCity', 'Latest', 'EURNZD', 'TradeIdeas', 'amp', 'TechnicalAnalysis', 'FREE', '2686', 'pip', 'Profit', '82', 'days', 'Euro', 'EUR', 'NZD', 'Money', 'Forex…']",positive
18,"['VIR', 'Since', 'April', 'posted', 'levels', 'follow', 'thread', 'levels', 'support', 'amp', 'resistance', 'SL', 'amp', 'TP', 'SPX', 'nasdaq', 'TechnicalAnalysis', 'StockMarket', 'daytrading', 'SPY', 'QQQ', 'IWM', 'httpstcoSsJ3JYbP0v', 'httpstco2J0zIly9Yy']",positive
19,"['EpiphronR', 'China', 'Population', '13', 'Billion', 'Reasons', '30', 'IQ', 'IQIYI', 'amp', 'GLUU', 'Short', 'Squeeze', 'Bullish', 'Call', 'Especially', 'w', 'New', 'Sorcerers', 'Arena', 'Game', 'NetFlix', 'Time', 'High', 'NFLX', 'DIS', 'Netflix', '47', 'record', 'high', 'Imperial', 'bumps', 'PT', 'httpstcoh2HBNi7ir0', 'AMZN', 'INTC', 'SNAP', 'AAPL', 'AMAT']",neutral
20,"['RT', 'RafKadian', 'tsla', 'amp', 'nio', 'fot', 'day', 'trading', 'stocks', 'RafTrading111', 'adssgroup', 'httpstcozwFA8po9YI']",neutral
21,"['Q1', '2020', 'EPS', 'Estimates', 'Merck', 'amp', 'Co', 'Inc', 'MRK', 'Lowered', 'SVB', 'Leerink', 'httpstcovi2fdhysb8']",negative
